,0,1,2,3,4,5,6,7,8,9
0,0.004308085062005717,2.320955569618079e-05,2.165747034557782e-05,3.5482305317583644e-05,4.0218957650692057e-05,5.500053445323189e-05,3.068714946973035e-05,4.616113714657214e-05,2.519656779216523e-05,4.4940156363517525e-05
1,2.320955569618079e-05,0.0008949162674358354,9.870900969460549e-06,1.617189433342785e-05,1.8330734925649836e-05,2.5067785858292048e-05,1.3986389389774344e-05,2.1039022847122987e-05,1.1483927784647586e-05,2.04825321673328e-05
2,2.165747034557782e-05,9.870900969460549e-06,0.0007792273831661995,1.509043630747594e-05,1.710490942875896e-05,2.339143566391458e-05,1.3051081951585438e-05,1.9632086860089245e-05,1.0715966677797662e-05,1.9112810207278105e-05
3,3.5482305317583644e-05,1.617189433342785e-05,1.509043630747594e-05,0.0020915700106679067,2.8023661540174585e-05,3.832313048569422e-05,2.1382112829512222e-05,3.216403803749148e-05,1.7556399494842513e-05,3.1313286197810436e-05
4,4.0218957650692057e-05,1.8330734925649836e-05,1.710490942875896e-05,2.8023661540174585e-05,0.002687264226560237,4.3439014129734846e-05,2.423648302091312e-05,3.645772370556933e-05,1.9900062339855547e-05,3.5493402140069936e-05
5,5.500053445323189e-05,2.5067785858292048e-05,2.339143566391458e-05,3.832313048569422e-05,4.3439014129734846e-05,0.00502553808275037,3.314405935117427e-05,4.985694323980252e-05,2.721388440373601e-05,4.853820688795847e-05
6,3.068714946973035e-05,1.3986389389774344e-05,1.3051081951585438e-05,2.1382112829512222e-05,2.423648302091312e-05,3.314405935117427e-05,0.001564450572007661,2.7817320040856065e-05,1.5183789514982397e-05,2.708154065357363e-05
7,4.616113714657214e-05,2.1039022847122987e-05,1.9632086860089245e-05,3.216403803749148e-05,3.645772370556933e-05,4.985694323980252e-05,2.7817320040856065e-05,0.0035399876480854482,2.2840211695033836e-05,4.073740095942076e-05
8,2.519656779216523e-05,1.1483927784647586e-05,1.0715966677797662e-05,1.7556399494842513e-05,1.9900062339855547e-05,2.721388440373601e-05,1.5183789514982397e-05,2.2840211695033836e-05,0.001054706255506019,2.2236078840334294e-05
9,4.4940156363517525e-05,2.04825321673328e-05,1.9112810207278105e-05,3.1313286197810436e-05,3.5493402140069936e-05,4.853820688795847e-05,2.708154065357363e-05,4.073740095942076e-05,2.2236078840334294e-05,0.003355196092630261
